"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 12:15:50 GMT 2022","Fri Sep 30 12:15:51 GMT 2022","916","firefox","example1.spec.js","","","","Test 5 -> @Smoke",""
"passed","Fri Sep 30 12:15:39 GMT 2022","Fri Sep 30 12:15:40 GMT 2022","1203","chrome","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:15:40 GMT 2022","Fri Sep 30 12:15:41 GMT 2022","502","chrome","example1.spec.js","","","","Test 2 ->  @Smoke",""
"passed","Fri Sep 30 12:15:41 GMT 2022","Fri Sep 30 12:15:42 GMT 2022","552","chrome","example1.spec.js","","","","Test 4 -> @Smoke",""
"passed","Fri Sep 30 12:15:42 GMT 2022","Fri Sep 30 12:15:43 GMT 2022","536","chrome","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:15:41 GMT 2022","Fri Sep 30 12:15:41 GMT 2022","540","chrome","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:15:46 GMT 2022","Fri Sep 30 12:15:47 GMT 2022","907","firefox","example1.spec.js","","","","Test 2 ->  @Smoke",""
"passed","Fri Sep 30 12:15:47 GMT 2022","Fri Sep 30 12:15:49 GMT 2022","1807","firefox","example1.spec.js","","","","Test 3 -> @Smoke",""
"passed","Fri Sep 30 12:15:51 GMT 2022","Fri Sep 30 12:15:52 GMT 2022","933","firefox","example2.spec.js","","","","@Smoke",""
"passed","Fri Sep 30 12:15:42 GMT 2022","Fri Sep 30 12:15:42 GMT 2022","497","chrome","example1.spec.js","","","","Test 5 -> @Smoke",""
"passed","Fri Sep 30 12:15:44 GMT 2022","Fri Sep 30 12:15:46 GMT 2022","2746","firefox","example1.spec.js","","","","Test 1 -> @Smoke",""
"passed","Fri Sep 30 12:15:49 GMT 2022","Fri Sep 30 12:15:50 GMT 2022","908","firefox","example1.spec.js","","","","Test 4 -> @Smoke",""
